1086,1004
1087,1005
1088,1006
1089,1007
1090,1008
1091,1009
1092,1010
1093,1011
1094,1012
1095,1013
1096,1014
1097,1015
1098,1016
1099,1017
1100,1018
1101,1019
1102,1020
1103,1021
1104,1022
1105,1023
1106,1024
1107,1025
1108,1026
1109,1027
1110,1028
1111,1029
1112,1030
1113,1031
1114,1032
1115,1033
1116,1034
1117,1035
1118,1036
1119,1037
1120,1038
1121,1039
1122,1040
1123,1041
1124,1042
1125,1043
1126,1044
1127,1045
1128,1046
1129,1047
1130,1048
1131,1049
1132,1050
1133,1051
1134,1052
1135,1053
1136,1054
1137,1055
1138,1056
1139,1057
1140,1058
1141,1059
1142,1060
1143,1061
1144,1062
1145,1063
1146,1064
1147,1065
1148,1066
1149,1067
1150,1068
1151,1069
1152,1070
1153,1071
1154,1072
1155,1073
1156,1074
1157,1075
1158,1076
1159,1077
1160,1078
1161,1079
1162,1080
1163,1081
1164,1082
1165,1083
1166,1084
1167,1085
1168,1086
1169,1087
1170,1088
1171,1089
1172,1090
1173,1091
1174,1092
1175,1093
1176,1094
1177,1095
1178,1096
1179,1097
1180,1098
1181,1099
1182,1100
1183,1101
1184,1102
1185,1103
1186,1104
1187,1105
1188,1106
1189,1107
1190,1108
1191,1109
1192,1110
1193,1111
1194,1112
1195,1113
1196,1114
1197,1115
1198,1116
1199,1117
1200,1118
1201,1119
1202,1120
1203,1121
1204,1122
1205,1123
1206,1124
1207,1125
1208,1126
1209,1127
1210,1128
1211,1129
1212,1130
1213,1131
1214,1132
1215,1133
1216,1134
1217,1135
1218,1136
1219,1137
1220,1138
1221,1139
1222,1140
1223,1141
1224,1142
1225,1143
1226,1144
1227,1145
1228,1146
1229,1147
1230,1148
1231,1149
1232,1150
1233,1151
1234,1152
1235,1153
1236,1154
1237,1155
1238,1156
1239,1157
1240,1158
1241,1159
1242,1160
1243,1161
1244,1162
1245,1163
1246,1164
1247,1165
1248,1166
1249,1167
1250,1168
1251,1169
1252,1170
1253,1171
1254,1172
1255,1173
1256,1174
1257,1175
